X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.91431,46.74035,0,0,216,,,,,,,,,,,,,,,,,,,,,,,
-121.91397,46.74021,0,0,217,,,,,,,,,,,,,,,,,,,,,,,
-121.91352,46.74008,0,0,218,,,,,,,,,,,,,,,,,,,,,,,
-121.91315,46.73995,0,0,219,,,,,,,,,,,,,,,,,,,,,,,
-121.9128,46.73976,0,0,220,,,,,,,,,,,,,,,,,,,,,,,
-121.91244,46.73938,0,0,221,,,,,,,,,,,,,,,,,,,,,,,
-121.91224,46.73919,0,0,222,,,,,,,,,,,,,,,,,,,,,,,
-121.91195,46.73893,0,0,223,,,,,,,,,,,,,,,,,,,,,,,
-121.91179,46.73881,0,0,224,,,,,,,,,,,,,,,,,,,,,,,
-121.91162,46.73872,0,0,225,,,,,,,,,,,,,,,,,,,,,,,
-121.91136,46.73866,0,0,226,,,,,,,,,,,,,,,,,,,,,,,
-121.91107,46.73862,0,0,227,,,,,,,,,,,,,,,,,,,,,,,
-121.9107,46.7386,0,0,228,,,,,,,,,,,,,,,,,,,,,,,
-121.91024,46.73866,0,0,229,,,,,,,,,,,,,,,,,,,,,,,
-121.9098,46.7388,0,0,230,,,,,,,,,,,,,,,,,,,,,,,
-121.90929,46.73907,0,0,231,,,,,,,,,,,,,,,,,,,,,,,
-121.90869,46.73935,0,0,232,,,,,,,,,,,,,,,,,,,,,,,
-121.90808,46.73959,0,0,233,,,,,,,,,,,,,,,,,,,,,,,
-121.90771,46.7397,0,0,234,,,,,,,,,,,,,,,,,,,,,,,
-121.90735,46.73977,0,0,235,,,,,,,,,,,,,,,,,,,,,,,
-121.90699,46.73981,0,0,236,,,,,,,,,,,,,,,,,,,,,,,
-121.90665,46.73985,0,0,237,,,,,,,,,,,,,,,,,,,,,,,
-121.9065,46.73989,0,0,238,,,,,,,,,,,,,,,,,,,,,,,
-121.90639,46.73995,0,0,239,,,,,,,,,,,,,,,,,,,,,,,
-121.90629,46.74004,0,0,240,,,,,,,,,,,,,,,,,,,,,,,
-121.90613,46.74018,0,0,241,,,,,,,,,,,,,,,,,,,,,,,
-121.90579,46.74041,0,0,242,,,,,,,,,,,,,,,,,,,,,,,
-121.9054,46.74059,0,0,243,,,,,,,,,,,,,,,,,,,,,,,
-121.9047,46.74077,0,0,244,,,,,,,,,,,,,,,,,,,,,,,
-121.90404,46.74093,0,0,245,,,,,,,,,,,,,,,,,,,,,,,
-121.90302,46.74128,0,0,246,,,,,,,,,,,,,,,,,,,,,,,
-121.90201,46.74163,0,0,247,,,,,,,,,,,,,,,,,,,,,,,
-121.90081,46.74207,0,0,248,,,,,,,,,,,,,,,,,,,,,,,
-121.90015,46.74228,0,0,249,,,,,,,,,,,,,,,,,,,,,,,
-121.89978,46.74237,0,0,250,,,,,,,,,,,,,,,,,,,,,,,
-121.89962,46.74237,0,0,251,,,,,,,,,,,,,,,,,,,,,,,
-121.89946,46.74236,0,0,252,,,,,,,,,,,,,,,,,,,,,,,
-121.89918,46.74231,0,0,253,,,,,,,,,,,,,,,,,,,,,,,
-121.89702,46.7416,0,0,254,,,,,,,,,,,,,,,,,,,,,,,
-121.89597,46.74127,0,0,255,,,,,,,,,,,,,,,,,,,,,,,
-121.89496,46.74099,0,0,256,,,,,,,,,,,,,,,,,,,,,,,
-121.89434,46.74087,0,0,257,,,,,,,,,,,,,,,,,,,,,,,
-121.8937,46.74086,0,0,258,,,,,,,,,,,,,,,,,,,,,,,
-121.89235,46.74101,0,0,259,,,,,,,,,,,,,,,,,,,,,,,
-121.89095,46.74113,0,0,260,,,,,,,,,,,,,,,,,,,,,,,
-121.89034,46.74114,0,0,261,,,,,,,,,,,,,,,,,,,,,,,
-121.88998,46.7412,0,0,262,,,,,,,,,,,,,,,,,,,,,,,
-121.88973,46.7413,0,0,263,,,,,,,,,,,,,,,,,,,,,,,
-121.88929,46.74148,0,0,264,,,,,,,,,,,,,,,,,,,,,,,
-121.88881,46.74168,0,0,265,,,,,,,,,,,,,,,,,,,,,,,
-121.88803,46.74193,0,0,266,,,,,,,,,,,,,,,,,,,,,,,
-121.88765,46.742,0,0,267,,,,,,,,,,,,,,,,,,,,,,,
-121.88736,46.74201,0,0,268,,,,,,,,,,,,,,,,,,,,,,,
-121.88718,46.742,0,0,269,,,,,,,,,,,,,,,,,,,,,,,
-121.88701,46.74192,0,0,270,,,,,,,,,,,,,,,,,,,,,,,
-121.88668,46.74165,0,0,271,,,,,,,,,,,,,,,,,,,,,,,
-121.88648,46.7413,0,0,272,,,,,,,,,,,,,,,,,,,,,,,
-121.8863,46.74112,0,0,273,,,,,,,,,,,,,,,,,,,,,,,
-121.8861,46.74101,0,0,274,,,,,,,,,,,,,,,,,,,,,,,
-121.88501,46.74061,0,0,275,,,,,,,,,,,,,,,,,,,,,,,
-121.88327,46.74047,0,0,276,,,,,,,,,,,,,,,,,,,,,,,
-121.8824,46.74034,0,0,277,,,,,,,,,,,,,,,,,,,,,,,
-121.88187,46.74013,0,0,278,,,,,,,,,,,,,,,,,,,,,,,
-121.88061,46.73939,0,0,279,,,,,,,,,,,,,,,,,,,,,,,
-121.8789,46.73896,0,0,280,,,,,,,,,,,,,,,,,,,,,,,
-121.87831,46.73859,0,0,281,,,,,,,,,,,,,,,,,,,,,,,
-121.87799,46.73797,0,0,282,,,,,,,,,,,,,,,,,,,,,,,
-121.87692,46.73649,0,0,283,,,,,,,,,,,,,,,,,,,,,,,
-121.87624,46.73571,0,0,284,,,,,,,,,,,,,,,,,,,,,,,
-121.87488,46.73485,0,0,285,,,,,,,,,,,,,,,,,,,,,,,
-121.87418,46.73456,0,0,286,,,,,,,,,,,,,,,,,,,,,,,
-121.87355,46.73429,0,0,287,,,,,,,,,,,,,,,,,,,,,,,
-121.87317,46.73417,0,0,288,,,,,,,,,,,,,,,,,,,,,,,
-121.87282,46.7341,0,0,289,,,,,,,,,,,,,,,,,,,,,,,
-121.87247,46.73403,0,0,290,,,,,,,,,,,,,,,,,,,,,,,
-121.87211,46.73393,0,0,291,,,,,,,,,,,,,,,,,,,,,,,
-121.87181,46.73391,0,0,292,,,,,,,,,,,,,,,,,,,,,,,
-121.87149,46.7339,0,0,293,,,,,,,,,,,,,,,,,,,,,,,
-121.87111,46.73398,0,0,294,,,,,,,,,,,,,,,,,,,,,,,
-121.87071,46.73409,0,0,295,,,,,,,,,,,,,,,,,,,,,,,
-121.87038,46.73429,0,0,296,,,,,,,,,,,,,,,,,,,,,,,
-121.87023,46.73444,0,0,297,,,,,,,,,,,,,,,,,,,,,,,
-121.86998,46.73456,0,0,298,,,,,,,,,,,,,,,,,,,,,,,
-121.86975,46.73465,0,0,299,,,,,,,,,,,,,,,,,,,,,,,
-121.86879,46.73492,0,0,300,,,,,,,,,,,,,,,,,,,,,,,
-121.86756,46.73516,0,0,301,,,,,,,,,,,,,,,,,,,,,,,
-121.86656,46.73539,0,0,302,,,,,,,,,,,,,,,,,,,,,,,
-121.86563,46.73565,0,0,303,,,,,,,,,,,,,,,,,,,,,,,
-121.86478,46.73584,0,0,304,,,,,,,,,,,,,,,,,,,,,,,
-121.86461,46.73586,0,0,305,,,,,,,,,,,,,,,,,,,,,,,
-121.86447,46.73587,0,0,306,,,,,,,,,,,,,,,,,,,,,,,
-121.86438,46.73587,0,0,307,,,,,,,,,,,,,,,,,,,,,,,
-121.86416,46.73584,0,0,308,,,,,,,,,,,,,,,,,,,,,,,
-121.86362,46.73582,0,0,309,,,,,,,,,,,,,,,,,,,,,,,
-121.86093,46.73573,0,0,310,,,,,,,,,,,,,,,,,,,,,,,
-121.86049,46.73578,0,0,311,,,,,,,,,,,,,,,,,,,,,,,
-121.85778,46.73637,0,0,312,,,,,,,,,,,,,,,,,,,,,,,
-121.85745,46.7364,0,0,313,,,,,,,,,,,,,,,,,,,,,,,
-121.85718,46.73639,0,0,314,,,,,,,,,,,,,,,,,,,,,,,
-121.85687,46.73634,0,0,315,,,,,,,,,,,,,,,,,,,,,,,
-121.85643,46.73626,0,0,316,,,,,,,,,,,,,,,,,,,,,,,
-121.85598,46.73616,0,0,317,,,,,,,,,,,,,,,,,,,,,,,
-121.85575,46.73612,0,0,318,,,,,,,,,,,,,,,,,,,,,,,
-121.85515,46.73598,0,0,319,,,,,,,,,,,,,,,,,,,,,,,
-121.85317,46.73555,0,0,320,,,,,,,,,,,,,,,,,,,,,,,
-121.85277,46.73549,0,0,321,,,,,,,,,,,,,,,,,,,,,,,
-121.8525,46.73545,0,0,322,,,,,,,,,,,,,,,,,,,,,,,
-121.85216,46.73542,0,0,323,,,,,,,,,,,,,,,,,,,,,,,
-121.85176,46.73539,0,0,324,,,,,,,,,,,,,,,,,,,,,,,
-121.85031,46.73532,0,0,325,,,,,,,,,,,,,,,,,,,,,,,
-121.84999,46.7353,0,0,326,,,,,,,,,,,,,,,,,,,,,,,
-121.84966,46.73522,0,0,327,,,,,,,,,,,,,,,,,,,,,,,
-121.84864,46.7349,0,0,328,,,,,,,,,,,,,,,,,,,,,,,
-121.84811,46.7348,0,0,329,,,,,,,,,,,,,,,,,,,,,,,
-121.84736,46.73473,0,0,330,,,,,,,,,,,,,,,,,,,,,,,
-121.84646,46.73485,0,0,331,,,,,,,,,,,,,,,,,,,,,,,
-121.84606,46.73485,0,0,332,,,,,,,,,,,,,,,,,,,,,,,
-121.84533,46.73475,0,0,333,,,,,,,,,,,,,,,,,,,,,,,
-121.84371,46.73495,0,0,334,,,,,,,,,,,,,,,,,,,,,,,
-121.84308,46.73493,0,0,335,,,,,,,,,,,,,,,,,,,,,,,
-121.84256,46.73485,0,0,336,,,,,,,,,,,,,,,,,,,,,,,
-121.84206,46.73486,0,0,337,,,,,,,,,,,,,,,,,,,,,,,
